Банк;Дилер;Дилер город;Дата создания заявки;Дата кредитного договора
ФастБанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;30.03.2022
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
ФастБанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;30.03.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
ФастБанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;01.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;02.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;03.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;04.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;04.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;04.04.2022;
ФастБанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;05.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;06.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;06.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;06.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;07.04.2022;07.04.2022
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;07.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;07.04.2022;07.04.2022
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;07.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;08.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;08.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;08.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;11.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;11.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;13.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;13.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;14.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;15.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;18.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;20.04.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;20.04.2022;
Росбанк;Fresh Auto Ростов-на-Дону;Тюмень;23.04.2022;
Драйв Клик;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;25.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;28.04.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;05.05.2022;
Драйв Клик;ТЕСТ СЕТЕЛЕМ;Москва;06.05.2022;06.05.2022
Росбанк;Хавейл Кунцево;Ростов-на-Дону;11.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;12.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;12.05.2022;
ФастБанк;Хавейл Кунцево;Ростов-на-Дону;12.05.2022;12.05.2022
Росбанк;Хавейл Кунцево;Ростов-на-Дону;12.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;12.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;13.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;16.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;17.05.2022;
Драйв Клик;ТЕСТ СЕТЕЛЕМ;Москва;18.05.2022;
Драйв Клик;ТЕСТ СЕТЕЛЕМ;Москва;18.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;18.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;18.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;18.05.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;18.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;18.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;19.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;19.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;20.05.2022;
Росбанк;АМКАПИТАЛ (Ярославль);Ярославль;23.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;24.05.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;24.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;24.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;25.05.2022;
Росбанк;"ООО ""ПОРШЕ ЦЕНТР МОСКВА""";Москва;25.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;26.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;27.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;30.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;30.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;31.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;31.05.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;01.06.2022;01.06.2022
Росбанк;АМКАПИТАЛ (Самара);Самара;01.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;01.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;02.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;02.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;02.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;02.06.2022;02.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;02.06.2022;02.06.2022
Росбанк;АМКАПИТАЛ (Самара);Самара;03.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;03.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;07.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;07.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;08.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;08.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;10.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;14.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;14.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;14.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;17.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;17.06.2022;17.06.2022
Росбанк;АМКАПИТАЛ (Самара);Самара;20.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;20.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;20.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;21.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;21.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;21.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;23.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;23.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;24.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;27.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;27.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;27.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.06.2022;27.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;28.06.2022;28.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;28.06.2022;28.06.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;28.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;28.06.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;30.06.2022;
Росбанк;Хавейл Кунцево;Ростов-на-Дону;04.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;05.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;05.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;05.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.07.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;06.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;06.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;11.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;11.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;11.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;12.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;12.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;13.07.2022;
Драйв Клик;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;13.07.2022;15.07.2022
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;15.07.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;18.07.2022;18.07.2022
Росбанк;АМКАПИТАЛ (Самара);Самара;18.07.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;18.07.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;18.07.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;18.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;22.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;22.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;25.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;26.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;26.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;26.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;26.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;27.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;28.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;29.07.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;29.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;30.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;30.07.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;30.07.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;01.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;02.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;02.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;02.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;03.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;04.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;04.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;04.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;05.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;05.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;05.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;08.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;08.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;08.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;08.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;09.08.2022;09.08.2022
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;09.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;10.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;10.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;11.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;11.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;11.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;11.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;12.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;15.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;15.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;15.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;15.08.2022;15.08.2022
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;15.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;15.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;16.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;17.08.2022;17.08.2022
Драйв Клик;АМ Капитал Архангельск;Архангельск;17.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;18.08.2022;18.08.2022
Драйв Клик;АМ Капитал Архангельск;Архангельск;18.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;18.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;18.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;18.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;19.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;19.08.2022;
Росбанк;АМКАПИТАЛ (Ставропольская);;19.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;19.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;19.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;19.08.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;19.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;22.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;22.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;22.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;22.08.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;22.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;22.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Росбанк;АМКАПИТАЛ (Ставропольская);;23.08.2022;
Росбанк;АМКАПИТАЛ (Ставропольская);;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;23.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;24.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;24.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;24.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;24.08.2022;
Росбанк;АМКАПИТАЛ (Ставропольская);;24.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;25.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;25.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;25.08.2022;26.08.2022
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;26.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;26.08.2022;
Совкомбанк;АМКАПИТАЛ (Ярославль);Ярославль;26.08.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;26.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;26.08.2022;26.08.2022
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;26.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;26.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;26.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;27.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;29.08.2022;
Росбанк;АМ Капитал Архангельск;Архангельск;29.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;29.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;29.08.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;29.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;29.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;30.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;30.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;31.08.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;31.08.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;31.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;31.08.2022;31.08.2022
Росбанк;АМКАПИТАЛ (Самара);Самара;31.08.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;31.08.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;01.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;01.09.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;01.09.2022;
Драйв Клик;АМ Капитал Архангельск;Архангельск;02.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;02.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;02.09.2022;
Росбанк;АМ Капитал Архангельск;Архангельск;02.09.2022;
Росбанк;АМКАПИТАЛ (Самара);Самара;02.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;02.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;02.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;05.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;05.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;05.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;06.09.2022;06.09.2022
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;06.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;07.09.2022;07.09.2022
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;07.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;07.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;08.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;08.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;08.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;08.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;08.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;08.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;09.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;09.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;10.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;12.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;12.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;12.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;12.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;12.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;12.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;12.09.2022;
Драйв Клик;"ООО ""Квант"" (Волгоград)  ";Свободный;12.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;13.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;13.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;13.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;14.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;14.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;15.09.2022;
Совкомбанк;АМКАПИТАЛ (Самара);Самара;15.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;15.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;16.09.2022;
Росбанк;"ООО ""Квант"" (Волгоград)  ";Свободный;19.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;19.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;19.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;20.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;21.09.2022;
Совкомбанк;АМКАПИТАЛ ООО (Дмитровское шоссе);Самара;21.09.2022;
